"","FID","site_id","name","lon","lat","ONIMI","OKOOD","MNIMI","MKOOD","lau2","lon_cntr","lat_cntr"
"544",543,251,"KOJOL",27.29039167,59.40697222,"Kohtla-Järve linn",322,"Ida-Viru maakond",44,322,27.339327476,59.3651226829
"545",544,238,"KJSOO",27.24186667,59.39510556,"Kohtla-Järve linn",322,"Ida-Viru maakond",44,322,27.339327476,59.3651226829
"546",545,917,"TOORU",27.56449167,59.36988611,"Kohtla-Järve linn",322,"Ida-Viru maakond",44,322,27.339327476,59.3651226829
"547",546,10,"AHTKO",27.46526667,59.31443889,"Kohtla-Järve linn",322,"Ida-Viru maakond",44,322,27.339327476,59.3651226829
"548",547,11,"AHTME",27.42278889,59.32833333,"Kohtla-Järve linn",322,"Ida-Viru maakond",44,322,27.339327476,59.3651226829
"549",548,969,"PURUT",27.4175,59.33638889,"Kohtla-Järve linn",322,"Ida-Viru maakond",44,322,27.339327476,59.3651226829
"550",549,980,"SOMPA",27.28583333,59.33805556,"Kohtla-Järve linn",322,"Ida-Viru maakond",44,322,27.339327476,59.3651226829
"551",550,212,"KEITF",24.42304444,59.30805833,"Keila linn",296,"Harju maakond",37,296,24.3932409089,59.3118232006
"552",551,211,"KEILH",24.40555278,59.31333056,"Keila linn",296,"Harju maakond",37,296,24.3932409089,59.3118232006
"553",552,209,"KEIKE",24.4022,59.31793889,"Keila linn",296,"Harju maakond",37,296,24.3932409089,59.3118232006
"554",553,840,"KEIKO",24.4,59.30166667,"Keila linn",296,"Harju maakond",37,296,24.3932409089,59.3118232006
"555",554,1003,"KESOS",24.38166667,59.32444444,"Keila linn",296,"Harju maakond",37,296,24.3932409089,59.3118232006
"556",555,180,"KARDL",22.72195,58.9925,"Kärdla linn",371,"Hiiu maakond",39,371,22.7441082958,58.9961704299
"557",556,187,"KARKE",22.74804722,59.00305278,"Kärdla linn",371,"Hiiu maakond",39,371,22.7441082958,58.9961704299
"558",557,468,"PARPI",24.50138333,58.40860556,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"559",558,501,"PORTA",24.50305278,58.38639167,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"560",559,845,"PROHU",24.50444167,58.3975,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"561",560,882,"AIDEK",24.48915833,58.39916389,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"562",561,493,"PNIID",24.54388889,58.36694167,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"563",562,665,"TEPAR",24.51055278,58.37304722,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"564",563,467,"PARMA",24.57750556,58.37693889,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"565",564,525,"RAEKY",24.57442222,58.35653333,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"566",565,971,"RAEKK",24.57861111,58.34555556,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"567",566,462,"PAPIN",24.5425,58.37333056,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"568",567,466,"PARLI",24.52496667,58.38256389,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"569",568,471,"PASTR",24.52106667,58.37330278,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"570",569,839,"PKUTS",24.54027778,58.38583056,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"571",570,1005,"PASPO",24.53444444,58.37638889,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"572",571,480,"PHAIG",24.54777778,58.38749167,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"573",572,594,"SAUGA",24.47585,58.39,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"574",573,596,"SAVIQ",24.53046944,58.39738056,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"575",574,463,"PARHO",24.50610833,58.385,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"576",575,469,"PARSA",24.50221667,58.37694167,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"577",576,470,"PARTF",24.49554722,58.38416944,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"578",577,667,"TERVI",24.48502778,58.38350278,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"579",578,850,"PKUKE",24.51055556,58.3825,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"580",579,1030,"PARNA",24.49638889,58.37916667,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"581",580,626,"SUNSE",24.49833056,58.37416667,"Pärnu linn",625,"Pärnu maakond",67,625,24.5259275582,58.3838964769
"582",581,607,"SINDI",24.66444444,58.40971944,"Sindi linn",741,"Pärnu maakond",67,741,24.6535483401,58.400587765
"583",582,69,"ELVKO",26.41334167,58.21944167,"Elva linn",170,"Tartu maakond",78,170,26.4196134866,58.2268400021
"584",583,788,"VORRJ",27.02416667,57.82749444,"Võru linn",919,"Võru maakond",86,919,27.0046819256,57.8384484973
"585",584,790,"WORUK",27.00270278,57.84094167,"Võru linn",919,"Võru maakond",86,919,27.0046819256,57.8384484973
"586",585,789,"VORKE",26.99833056,57.84666667,"Võru linn",919,"Võru maakond",86,919,27.0046819256,57.8384484973
"587",586,533,"RAKOL",26.37185833,59.35704444,"Rakvere linn",663,"Lääne-Viru maakond",59,663,26.3628740797,59.3453399665
"588",587,531,"RAKLA",26.36306389,59.34915556,"Rakvere linn",663,"Lääne-Viru maakond",59,663,26.3628740797,59.3453399665
"589",588,532,"RAKMA",26.34390278,59.35083056,"Rakvere linn",663,"Lääne-Viru maakond",59,663,26.3628740797,59.3453399665
"590",589,534,"RAKTL",26.359175,59.35166667,"Rakvere linn",663,"Lääne-Viru maakond",59,663,26.3628740797,59.3453399665
"591",590,526,"RAGAQ",26.37703056,59.33952778,"Rakvere linn",663,"Lääne-Viru maakond",59,663,26.3628740797,59.3453399665
"592",591,535,"RAKVE",26.36835278,59.34551944,"Rakvere linn",663,"Lääne-Viru maakond",59,663,26.3628740797,59.3453399665
"593",592,1041,"RAPPA",26.34613333,59.34969444,"Rakvere linn",663,"Lääne-Viru maakond",59,663,26.3628740797,59.3453399665
"594",593,1046,"RAKKU",26.35817222,59.33335278,"Rakvere linn",663,"Lääne-Viru maakond",59,663,26.3628740797,59.3453399665
"595",594,127,"HUNDI",24.71551667,59.45766667,"Tallinna linn",784,"Harju maakond",37,784,24.7436642049,59.424938231
"596",595,155,"JUVEL",24.68243889,59.41718889,"Tallinna linn",784,"Harju maakond",37,784,24.7436642049,59.424938231
"597",596,380,"MHAIG",24.69153056,59.43121667,"Tallinna linn",784,"Harju maakond",37,784,24.7436642049,59.424938231
"598",597,639,"TALAK",24.67722778,59.41194167,"Tallinna linn",784,"Harju maakond",37,784,24.7436642049,59.424938231
"599",598,670,"TIHNI",24.63829444,59.38374722,"Tallinna linn",784,"Harju maakond",37,784,24.7436642049,59.424938231
"600",599,679,"TONIS",24.73659167,59.43242222,"Tallinna linn",784,"Harju maakond",37,784,24.7436642049,59.424938231
"601",600,58,"EEGRU",24.74972222,59.42860556,"Tallinna linn",784,"Harju maakond",37,784,24.7436642049,59.424938231
"602",601,230,"KINGA",24.74440556,59.43759444,"Tallinna linn",784,"Harju maakond",37,784,24.7436642049,59.424938231
"603",602,461,"PANK",24.74305833,59.43249444,"Tallinna linn",784,"Harju maakond",37,784,24.7436642049,59.424938231
